"number","name","year","letters","period","variation","EMOID","H"
"(1036)","Ganymed","","","10.31","0.10-0.45","0.34045","9.45"
"(1221)","Amor","","","","","0.10555","17.7"
"(13553)","","1992","JE","38","1.1","0.18935","16.3"
"(1580)","Betulia","","","6.1384","0.21-0.65","0.13354","14.5"
"(15817)","Lucianotesi","","",">11.",">0.9","0.24763","18.5"
"(16064)","","1999","RH27","178.5","0.7","0.20332","16.8"
"(1627)","Ivar","","","4.795","0.25-1.0","0.1101","13.2"
"(1915)","Quetzalcoatl","","","4.9","0.26","0.10757","18.97"
"(1916)","Boreas","","","3.49","0.25","0.25036","14.93"
"(1917)","Cuyo","","","2.69","0.44","0.07532","13.9"
"(1943)","Anteros","","","2.8695","0.08","0.06081","15.75"
"(1980)","Tezcatlipoca","","","7.2523","0.72","0.24537","13.92"
"(2061)","Anza","","","11.5","0.3","0.05241","16.56"
"(21088)","","1992","BL2","22.49",">0.13","0.30725","14.2"
"(2368)","Beltrovata","","","5.9","0.84","0.2308","15.21"
"(2608)","Seneca","","","8","0.5","0.13147","17.52"
"(3102)","Krok","","","151.8","1.3 -1.6","0.18713","16.1"
"(3122)","Florence","","","2.3581","0.15-0.22","0.04382","14.1"
"(3199)","Nefertiti","","","3.0202","0.11-0.30","0.21541","14.84"
"(3288)","Seleucus","","","75","1","0.10092","15.2"
"(3352)","McAuliffe","","","6","0.2","0.20165","15.8"
"(3551)","Verenia","","","4.93","0.11-0.15","0.07584","16.75"
"(3552)","Quixote","","","7.7",">0.41","0.30301","12.9"
"(3553)","Mera","","","3.1944","0.08","0.29288","16.4"
"(3671)","Dionysus","","","2.7053","0.13","0.0172","16.4"
"(3691)","Bede","","","226.8","0.5","0.34993","14.6"
"(3908)","Nyx","","","4.426","0.25-0.46","0.05671","17.3"
"(4055)","Magellan","","","7.475","0.46","0.23947","14.5"
"(433)","Eros","","","5.27","0.04-1.49","0.14816","11.16"
"(4503)","Cleobulus","","","3.13","0.22","0.31005","15.6"
"(4954)","Eric","","","12.056","0.66","0.19503","12.6"
"(4957)","Brucemurray","","","2.8922","0.14-0.38","0.42521","14.9"
"(5332)","","1990","DA","5.803","0.35","0.30412","14.6"
"(5370)","Taranis","","","","0.02","0.22661","15.2"
"(5653)","Camarillo","","","4.834","0.4 -0.85","0.28229","16.1"
"(5751)","Zao","","","76","0.04-0.2","0.24356","14.6"
"(5797)","Bivoj","","","2.706","0.12-0.17","0.06967","18.8"
"(6050)","Miwablock","","","5.7566","0.28","0.27176","14.8"
"(6456)","Golombek","","","2.5012","0.13","0.28165","15.9"
"(6569)","","1993","MO","5.959","0.98","0.25311","16.4"
"(65803)","Didymos","","","2.2593","0.08","0.04021","18"
"(7088)","Ishtar","","","2.679","0.11","0.22351","16.7"
"(719)","Albert","","","5.801","0.74-0.94","0.18577","15.4"
"(7336)","Saunders","","","6.423","0.2 -0.3","0.19628","18.8"
"(7358)","Oze","","","5.488","0.22","0.12221","14.6"
"(7480)","Norwan","","","35.9",">0.5","0.16111","17"
"(8013)","Gordonmoore","","","6","0.5","0.24337","16.9"
"(8034)","Akka","","","7.283","0.46","0.07223","17.8"
"(8709)","Kadlu","","","50.6",">0.40","0.27637","16.9"
"(887)","Alinda","","","73.97","0.35","0.09001","13.4"
"","","1989","VB","16",">0.32","0.01689","19.7"
"","","1990","SA","","","0.30697","16.8"
"","","1990","UP","20","0.8","0.20043","20.4"
"","","1994","AW1","2.5193","0.12","0.01819","17.5"
"","","1994","GY","2.555","0.06","0.27171","17.1"
"","","1995","FX","5.46","0.2","0.06599","20.1"
"","","1995","HM","1.62","2","0.12745","23"
"","","1997","AE12","1640",">0.6","0.09174","17.8"
"","","1998","QR15","2.454","0.11","0.26022","18.1"
"","","1998","XA5","","0.22","0.13054","18.8"
"","","1999","FN19","3.5","0.1","0.01546","22.5"
"","","1999","JO8","2.382","0.09-0.11","0.13237","16.9"
"","","1999","LF6","16.007","0.23","0.06407","18.2"
"","","1999","LN28",">19.",">1.0","0.12448","19.4"
"","","1999","PJ1","6.2013","1.1","0.3068","18.1"
"","","1999","VN6","24.1","0.6","0.16738","19.5"
"","","2000","JQ66","11.1","0.6","0.27321","17.7"
"","","2000","OG8","4.0734","0.14","0.24076","17.7"
"","","2000","QN130","30.33","0.3","0.26115","18.1"
"","","2000","QW7","71.3",">1.0","0.03001","19.8"
"","","2000","RD53","14.96","0.09","0.02398","19.9"
"","","2000","SS164","6.8939","0.86","0.30026","16.4"
"","","2000","WG63","0.1373","0.29","0.01767","23.2"
"","","2000","WL107","0.1609","1.1","0.04696","24.8"
"","","2000","WM10","long?","low","0.03589","25.8"
"","","2000","WN148","0.55","0.14","0.05977","22.4"
"","","2001","DS8","0.5313","0.25","0.05887","22.6"
"","","2001","JM1","5.7516","0.15","0.04483","19.1"
"","","2001","KU66","0.873","0.53","0.01237","24.1"
"","","2001","MF1","6.572","1.2","0.33828","16.8"
"","","2001","OE84","0.4865","0.3 -0.6","0.2115","17.9"
"","","2001","PD1","14.58","0.12","0.24285","18.3"
"","","2001","SE286","9.323","0.4","0.13838","17.8"
"","","2001","SK162","68","0.14","0.02905","17.9"
"","","2001","UC5",">4.",">0.3","0.06176","21.3"
"","","2001","VF2","1.3927","0.4","0.13392","20.3"
"","","2001","WR5","0.3575","0.57","0.06989","22.7"
"","","2002","BM26","2.7","","0.03058","20.1"
"","","2002","EC",">6.","","0.04328","23.4"
"","","2002","GD10","0.7356","0.09","0.05806","22.6"
"","","2002","GD11","7","0.15","0.18036","17.7"
"","","2002","HU11","15.66","0.4","0.15735","17.9"
"","","2002","KK8","","","0.02737","21"
"","","2002","QE15","2.5811","0.08-0.10","0.11593","16.2"
"","","2002","RH52","4.222","0.09","0.22062","16.7"
"","","2002","RX211","5.0689","0.22","0.14514","18.2"
"","","2002","TD60","2.851","1.4","0.11629","19.3"
"","","2003","AJ73","9.5708","0.96","0.18408","18.6"
"","","2003","RB",">16.",">0.2","0.04391","18.7"
"","","2003","SA224","35","0.24","0.15011","16.3"
"","","2004","BB75",">2.5",">0.27","0.03598","23.1"
"","","2004","BE86","2.42","0.63","0.10556","20.9"
"","","2004","BW18","8.25","0.21","0.04516","22.5"
"","","2004","GD2","0.235","0.78","0.02283","24.3"
"","","2004","JR1","2.813","0.13","0.16277","17.6"
"","","2004","XO14","8.4172","0.19","0.46384","16.1"
"","","2005","AB","3.339","0.04","0.16955","17.5"
"","","2005","CK38","4.7894","0.27","0.26058","17.3"
"","","2005","CR37","5.6","1.1","0.06327","18.9"
"","","2005","ED318","17.157","0.22","0.00696","20.8"
"(101955)","","1999","RQ36","2.146","0.1 -0.3","0.00313","20.9"
"(11066)","Sigurd","","","8.4958","1.02","0.11868","15.2"
"(11500)","","1989","UR","73","0.5","0.03406","18.4"
"(12711)","","1991","BB","3.4848","0.64-0.76","0.11248","15.8"
"(12923)","Zephyr","","","3.891","0.18","0.02198","15.8"
"(14827)","Hypnos","","","","0.05","0.01476","18.3"
"(1566)","Icarus","","","2.273","0.05-0.22","0.03415","16.9"
"(1620)","Geographos","","","5.223","1.10-2.03","0.02981","15.6"
"(1685)","Toro","","","10.196","0.6 -1.25","0.05085","14.23"
"(1862)","Apollo","","","3.065","0.15-0.60","0.0258","16.25"
"(1863)","Antinous","","","7.4568","0.14-0.23","0.1811","15.54"
"(1864)","Daedalus","","","8.572","0.88-1.04","0.26829","14.85"
"(1865)","Cerberus","","","6.81","1.48-2.10","0.15633","16.84"
"(1866)","Sisyphus","","","2.4","0.11","0.10379","12.4"
"(1981)","Midas","","","5.22","0.65-0.87","0.00221","15.2"
"(2063)","Bacchus","","","14.9","0.22-0.44","0.06683","17.2"
"(2102)","Tantalus","","","2.391","0.08","0.0429","15.9"
"(2201)","Oljato","","","26","0.1","0.00322","15.25"
"(2212)","Hephaistos","","",">20.","0.08-0.11","0.11623","13.87"
"(25143)","Itokawa","","","12.132","0.69-1.05","0.0133","19.2"
"(3103)","Eger","","","5.7059","0.72-0.90","0.07852","15.38"
"(3200)","Phaethon","","","3.604","0.11-0.34","0.01987","14.6"
"(3361)","Orpheus","","","3.58","0.32","0.01418","19.03"
"(3752)","Camillo","","","37.846","1.1","0.07705","15.3"
"(37655)","Illapa","","","2.6556","0.11","0.0236","17.9"
"(3838)","Epona","","","2.3812","0.05-0.38","0.1601","15.5"
"(4015)","Wilson-Harri","","","6.1","0.2","0.04728","15.99"
"(4179)","Toutatis","","","176","1.1","0.00602","15.3"
"(4183)","Cuno","","","3.5595","0.47-0.83","0.02883","14.4"
"(4341)","Poseidon","","","6.262","0.08","0.19437","15.9"
"(4486)","Mithra","","","100","1","0.04643","15.6"
"(4660)","Nereus","","","15.1","0.6","0.00336","18.2"
"(4769)","Castalia","","","4.095","1","0.02008","16.9"
"(5143)","Heracles","","","long?","<0.2","0.05852","13.8"
"(54509)","","2000","PH5","0.2029","0.86","0.00039","22.7"
"(5786)","Talos","","","38.52","0.23","0.18896","17.1"
"(6239)","Minos","","","3.5558","0.08","0.02633","18.4"
"(6489)","Golevka","","","6.0297","0.28-1.03","0.025","19.2"
"(69230)","Hermes","","","13.894","0.06","0.00458","17.5"
"","","1978","CA","3.7538","0.8","0.0146","17.1"
"","","1989","DA","3.925","0.12","0.04293","18.9"
"","","1989","UP","6.98","1.16","0.00573","20.5"
"","","1990","HA","8.55",">0.09","0.0196","16.3"
"","","1990","OS","few h","","0.00915","19.3"
"","","1990","UA","",">0.1","0.01223","19.6"
"","","1991","VA","","0.4","0.00688","26.5"
"","","1994","CB","8.676","0.9","0.05474","21"
"","","1994","XD","","","0.02012","19.1"
"","","1995","EK1","8.444","0.45","0.05319","17.4"
"","","1995","FJ","9.2","0.3","0.14923","20.3"
"","","1996","FG3","3.5942","0.08","0.02837","18.4"
"","","1996","JA1","5.227","0.8","0.00531","21"
"","","1997","GL3","7.572","0.28","0.0012","19.1"
"","","1998","BY7","<1.3","","0.02378","21.5"
"","","1998","KY26","0.1784","0.3","0.00297","25.5"
"","","1998","QR52","234","0.88","0.21144","18.7"
"","","1998","ST49","2.3011","0.11","0.05934","17.7"
"","","1998","UO1","2.9","0.04","0.0579","16.6"
"","","1998","VO33","8","0.24","0.06872","16.9"
"","","1998","WB2","0.313","0.6","0.01466","21.8"
"","","1998","XS16","5.4211","1.3","0.4076","16.2"
"","","1999","FA","10.092","1.2","0.00493","20.7"
"","","1999","NW2","<4.2","","0.01526","23.2"
"","","1999","SF10","0.0411","0.58","0.00387","24.3"
"","","1999","SM5","6.23","0.77-0.95","0.05053","19.1"
"","","1999","TN13","<1.3","","0.02465","23.6"
"","","1999","TY2","0.1213","0.68","0.02595","23.3"
"","","2000","AG6","0.0766","0.8","0.00389","25.3"
"","","2000","DO8","0.0217","1.39","0.0038","24.8"
"","","2000","DP107","2.7754","0.18","0.01495","18.2"
"","","2000","EH26",">24.","","0.00113","21.7"
"","","2000","GU127",">24.","0.1","0.10607","18.5"
"","","2000","JG5","6.0562","0.9","0.02869","18.1"
"","","2000","LF3","<1.0","","0.02073","21.6"
"","","2000","NM","9.24","0.25-0.42","0.12941","15.5"
"","","2000","SM10",">18.","0.2","0.00879","24.1"
"","","2000","UG11","4.44","0.1","0.00759","20.4"
"","","2000","UO30","0.5865","0.17","0.03813","24.3"
"","","2000","WG10","0.2286","0.41","0.0361","23.4"
"","","2000","WH10","0.0222","0.5","0.04913","22.5"
"","","2000","WJ107","<0.25","<0.12","0.00478","23.8"
"","","2000","WQ148","0.165","0.28","0.01395","22.7"
"","","2000","WS28","0.0731","0.35","0.01719","23.4"
"","","2000","XG47","8.71","0.15-0.6","0.1044","16.6"
"","","2000","YA","0.6658","0.35","0.00723","23.7"
"","","2001","AV43","0.1701","0.26","0.00149","24.6"
"","","2001","BF10","<0.4","","0.0011","22.6"
"","","2001","CB21","3.302","0.19","0.02449","18.4"
"","","2001","JV1","<29.","","0.02298","21.4"
"","","2001","KA67","6.1","0.2","0.26457","16.8"
"","","2001","SQ3","0.0625","0.39","0.02769","21.6"
"","","2001","UF5","0.2616","0.59","0.00589","22.7"
"","","2001","WH1","4","0.12","0.05007","20.4"
"","","2001","WJ4","0.9006","0.87","0.00468","27.4"
"","","2001","WV1","0.0449","0.38","0.00212","22.5"
"","","2001","XU4","0.6806","0.65","0.05201","23.8"
"","","2001","YB5","2.5","0.45","0.00361","20.9"
"","","2002","AA","4.126","0.26","0.0582","19.3"
"","","2002","AL14","2.3088","0.35","0.07571","17.8"
"","","2002","BK25","","low","0.04692","18.1"
"","","2002","CE26","3.293","0.06","0.10043","16.8"
"","","2002","EQ9","3","0.2","0.06167","19.4"
"","","2002","EZ11","2.32","0.15","0.00108","18.2"
"","","2002","FC","days","","0.02086","18.9"
"","","2002","FD6","2.799","0.2","0.0038","22.3"
"","","2002","HK12","12.69","1.5","0.02478","18.1"
"","","2002","JB9","2.4261","0.21","0.03227","16"
"","","2002","JR9","8.452","0.25","0.07358","17.7"
"","","2002","LV","6.195","0.94","0.01049","16.6"
"","","2002","NY40","19.98","1.3","0.00103","19"
"","","2002","PZ39","","","0.00308","18.9"
"","","2002","SY50","4.823","0.52","0.0028","17.6"
"","","2002","UK11",">5.","","0.01211","21.7"
"","","2003","AL18","2.484","0.18","0.13305","17.8"
"","","2003","FC5","129.5",">0.5","0.03342","18.2"
"","","2003","FG","8.692","1.4","0.04244","19.7"
"","","2003","FH1","","","0.20346","18.1"
"","","2003","KP2","151.1","1.7","0.1581","15.4"
"","","2003","MS2","7","0.5","0.02494","21.2"
"","","2003","RX7","2.6","0.12","0.02681","18.4"
"","","2003","SR84","2.352","0.83","0.00258","26"
"","","2003","SS84","","0.3","0.00534","21.8"
"","","2003","YT1","2.343","0.16","0.0015","16.2"
"","","2004","BV18","0.056","0.16","0.01174","25.9"
"","","2004","EW9","49.94","0.9","0.09045","16.6"
"","","2004","FF29","6.009","0.6","0.07057","18.1"
"","","2004","GD","very shor","t?","0.00564","23.7"
"","","2004","HW","2.52","0.2","0.00883","17"
"","","2004","JA","52.1","0.4","0.13712","17.9"
"","","2004","LJ1","2.7246","0.21-0.59","0.02007","15.4"
"","","2004","RF84","""""""weeks""","""""""""","0.03482","18.4"
"","","2004","RZ164","2.556","0.11","0.0107","19"
"","","2004","TC18","0.741","0.34","0.02876","24"
"","","2004","VW14","2.5009","0.14","0.01015","19.4"
"","","2005","GB34","0.52","0.36","0.00548","25.4"
"","","2005","OE3",">100.","","0.02563","20.3"
"(2062)","Aten","","","40.77","0.26","0.11258","16.8"
"(2100)","Ra-Shalom","","","19.7998","0.34-0.41","0.14981","16.05"
"(3362)","Khufu","","","",">0.14","0.01316","18.3"
"(3554)","Amun","","","2.53","0.19","0.24882","15.82"
"(3753)","Cruithne","","","27.44","0.4 -0.95","0.07068","15.6"
"(5381)","Sekhmet","","","3","0.1","0.11078","16.5"
"","","1998","ST27","3","0.1","0.00969","19.5"
"","","1999","HF1","2.3192","0.12-0.23","0.1746","14.5"
"","","1999","MN","5.495","0.77","0.00543","21.4"
"","","2000","EB14","1.79","1.7","0.03033","23.1"
"","","2000","EW70","<33.","","0.00975","21.3"
"","","2000","HB24","0.2176","0.24","0.01569","23.3"
"","","2000","PJ5","23.76","0.3","0.17444","17.5"
"","","2000","UK11","0.2661","0.24","0.0042","25.3"
"","","2001","CQ36","long","low","0.01372","22.5"
"","","2002","AA29","<0.55","","0.01125","24.1"
"","","2002","CQ11",">8.","","0.01945","20"
"","","2002","JC","2.49","0.4","0.09368","17.4"
"","","2002","TZ66","<1.1","","0.00382","25.9"
"","","2002","VE68","13.5","0.8","0.02622","20.5"
"","","2003","AK18","5.3","0.19","0.05664","19.7"
"","","2003","CP20","2.9745","0.4","0.20773","16.3"
"","","2003","EM1","0.031","0.6","0.00898","24.5"
"","","2003","EO16","","","0.13558","20.5"
"","","2003","NZ6","13.5","2","0.06681","19"
"","","2003","TL4","27.2",">1.0","0.02534","19.4"
"","","2003","WT153","0.117","0.16","0.00178","28"
"","","2004","FH","0.0504","1.16","0.00006","25.7"
